"SiteID","Treatment","Year","eventid","flow","eventStart","eventEnd","flow_time"
"ARM","control",2016,1,17.138,2016-03-09 13:40:00,2016-03-09 13:45:00,6
"ARM","control",2016,3,0.054,2016-03-15 03:10:00,2016-03-15 03:10:00,1
"ARM","control",2016,5,57876.585,2016-03-19 08:30:00,2016-03-19 10:40:00,131
"ARM","control",2016,7,29076893.575,2016-03-21 02:20:00,2016-03-21 12:30:00,611
"ARM","control",2016,9,3537.617,2016-04-02 06:05:00,2016-04-02 08:05:00,121
"ARM","control",2016,11,6031423.188,2016-04-09 00:50:00,2016-04-09 11:10:00,621
"ARM","control",2016,13,23.836,2016-04-20 05:20:00,2016-04-20 14:05:00,526
"ARM","control",2016,15,15.566,2016-04-21 02:40:00,2016-04-21 12:45:00,606
"ARM","control",2016,17,17194.897,2016-04-27 00:55:00,2016-05-04 11:35:00,10721
"ARM","control",2016,19,14240.346,2016-05-09 03:25:00,2016-05-13 18:05:00,6641
"ARM","control",2016,21,318.991,2016-05-18 12:45:00,2016-05-18 18:15:00,331
"ARM","control",2016,23,256.511,2016-05-19 12:00:00,2016-05-19 17:45:00,346
"ARM","control",2016,25,978.128,2016-05-20 12:45:00,2016-05-20 18:50:00,366
"ARM","control",2016,27,193.858,2016-05-21 15:25:00,2016-05-21 17:30:00,126
"ARM","control",2016,29,30.31,2016-05-22 11:00:00,2016-05-22 17:10:00,371
"ARM","control",2016,31,3.246,2016-05-23 11:20:00,2016-05-23 13:45:00,146
"ARM","control",2016,33,80.18,2016-05-24 12:05:00,2016-05-24 17:30:00,326
"ARM","control",2016,35,128.977,2016-05-25 13:40:00,2016-05-25 16:10:00,151
"ARM","control",2016,37,23738.361,2016-05-26 00:30:00,2016-05-29 19:35:00,5466
"ARM","control",2016,39,1225.014,2016-05-30 07:55:00,2016-05-30 16:00:00,486
"ARM","control",2016,41,48.288,2016-05-31 07:45:00,2016-05-31 17:50:00,606
